"","Country","Emp_rate","med.mo.earn","Type","Prof","cfinsum"
"96","New Zealand",93.732153,2780,1,"2",94.8770287837838
"97","Northern Ireland UK",94.402658,2310,1,"2",94.8770287837838
"98","Norway",96.777428,3860,1,"2",94.8770287837838
"99","Poland",90.764874,1340,1,"2",94.8770287837838
"100","Slovak Republic",90.446261,1280,1,"2",94.8770287837838
"101","Slovenia",89.722916,1470,1,"2",94.8770287837838
"102","Spain",82.533584,2160,1,"2",94.8770287837838
"103","Sweden",94.154994,NA,1,"2",94.8770287837838
"104","Turkey",93.88118,NA,1,"2",94.8770287837838
"105","United States",91.196425,3080,1,"2",94.8770287837838
"106","Cyprus",91.833097,2480,1,"2",94.8770287837838
"107","Ecuador",95.495879,850,1,"2",94.8770287837838
"108","Kazakhstan",95.568036,820,1,"2",94.8770287837838
"109","Peru",97.344572,NA,1,"2",94.8770287837838
"110","Russian Federation",95.896565,750,1,"2",94.8770287837838
"111","Singapore",96.587647,NA,1,"2",94.8770287837838
"112","Austria",95.881851,NA,2,"2",95.7452296060606
"113","Canada",95.736091,NA,2,"2",95.7452296060606
"114","Chile",96.325319,1810,2,"2",95.7452296060606
"115","Czech Republic",92.846112,1500,2,"2",95.7452296060606
"116","Denmark",93.222041,3760,2,"2",95.7452296060606
"117","England UK",94.05664,2630,2,"2",95.7452296060606
"118","Estonia",92.156062,1310,2,"2",95.7452296060606
"119","Finland",94.909299,2980,2,"2",95.7452296060606
"120","Flanders Belgium",97.419728,3180,2,"2",95.7452296060606
"121","France",92.363457,2310,2,"2",95.7452296060606
"122","Germany",94.540142,NA,2,"2",95.7452296060606
"123","Greece",76.942529,1490,2,"2",95.7452296060606
"124","Hungary",95.296658,NA,2,"2",95.7452296060606
"125","Ireland",88.197218,2920,2,"2",95.7452296060606
"126","Israel",94.975442,1950,2,"2",95.7452296060606
"127","Italy",87.975499,2290,2,"2",95.7452296060606
"128","Japan",96.897589,2260,2,"2",95.7452296060606
"129","Korea Republicof",96.821672,2710,2,"2",95.7452296060606
"130","Lithuania",89.303243,1000,2,"2",95.7452296060606
"131","Mexico",97.073582,770,2,"2",95.7452296060606
"132","Netherlands",95.497939,2910,2,"2",95.7452296060606
"133","New Zealand",94.159757,2810,2,"2",95.7452296060606
"134","Northern Ireland UK",94.519292,2410,2,"2",95.7452296060606
"135","Norway",96.633061,3750,2,"2",95.7452296060606
"136","Poland",91.84555,1380,2,"2",95.7452296060606
"137","Slovak Republic",89.474362,1260,2,"2",95.7452296060606
"138","Slovenia",90.176188,1480,2,"2",95.7452296060606
"139","Spain",82.704235,2170,2,"2",95.7452296060606
"140","Sweden",93.934904,NA,2,"2",95.7452296060606
"141","Turkey",94.423632,NA,2,"2",95.7452296060606
"142","United States",92.562761,3280,2,"2",95.7452296060606
"143","Cyprus",91.693011,2480,2,"2",95.7452296060606
"144","Ecuador",95.759644,950,2,"2",95.7452296060606
"145","Kazakhstan",95.694513,820,2,"2",95.7452296060606
"146","Peru",97.593705,NA,2,"2",95.7452296060606
"147","Russian Federation",95.456934,750,2,"2",95.7452296060606
"148","Singapore",96.639789,NA,2,"2",95.7452296060606
"149","Austria",97.175873,NA,1,"3",89.8736846756757
"150","Canada",96.65462,NA,1,"3",89.8736846756757
"151","Chile",96.377432,2100,1,"3",89.8736846756757
"152","Czech Republic",95.610848,1770,1,"3",89.8736846756757
"153","Denmark",95.047285,4430,1,"3",89.8736846756757
"154","England UK",96.205058,3330,1,"3",89.8736846756757
"155","Estonia",94.490674,1590,1,"3",89.8736846756757
"156","Finland",95.844116,3330,1,"3",89.8736846756757
"157","Flanders Belgium",98.593932,3830,1,"3",89.8736846756757
"158","France",94.262429,2680,1,"3",89.8736846756757
"159","Germany",96.280155,NA,1,"3",89.8736846756757
"160","Greece",80.487242,1610,1,"3",89.8736846756757
"161","Hungary",98.137941,NA,1,"3",89.8736846756757
"162","Ireland",91.995364,3830,1,"3",89.8736846756757
"163","Israel",95.980957,2560,1,"3",89.8736846756757
"164","Italy",90.824966,2750,1,"3",89.8736846756757
"165","Japan",97.53107,2930,1,"3",89.8736846756757
"166","Korea Republicof",96.673863,3330,1,"3",89.8736846756757
"167","Lithuania",92.88943,1290,1,"3",89.8736846756757
"168","Mexico",96.309021,1070,1,"3",89.8736846756757
"169","Netherlands",97.010592,3580,1,"3",89.8736846756757
"170","New Zealand",95.540469,3340,1,"3",89.8736846756757
"171","Northern Ireland UK",95.936028,2930,1,"3",89.8736846756757
"172","Norway",97.567497,4420,1,"3",89.8736846756757
"173","Poland",93.885149,1740,1,"3",89.8736846756757
"174","Slovak Republic",92.454782,1520,1,"3",89.8736846756757
"175","Slovenia",89.956789,1870,1,"3",89.8736846756757
"176","Spain",87.371128,2650,1,"3",89.8736846756757
"177","Sweden",96.330184,NA,1,"3",89.8736846756757
"178","Turkey",95.800335,NA,1,"3",89.8736846756757
"179","United States",95.015132,4220,1,"3",89.8736846756757
"180","Cyprus",93.109025,2800,1,"3",89.8736846756757
"181","Ecuador",96.562808,1230,1,"3",89.8736846756757
"182","Kazakhstan",97.224993,910,1,"3",89.8736846756757
"183","Peru",97.190684,NA,1,"3",89.8736846756757
"184","Russian Federation",94.986601,870,1,"3",89.8736846756757
"185","Singapore",97.135593,NA,1,"3",89.8736846756757
"186","Austria",97.005692,NA,2,"3",93.2894446216216
"187","Canada",96.770574,NA,2,"3",93.2894446216216
"188","Chile",97.923946,2530,2,"3",93.2894446216216
"189","Czech Republic",95.935396,1750,2,"3",93.2894446216216
"190","Denmark",95.560284,4310,2,"3",93.2894446216216
"191","England UK",96.453885,3460,2,"3",93.2894446216216
"192","Estonia",94.929819,1630,2,"3",93.2894446216216
"193","Finland",96.298249,3410,2,"3",93.2894446216216
"194","Flanders Belgium",98.485294,3750,2,"3",93.2894446216216
"195","France",95.486864,2750,2,"3",93.2894446216216
"196","Germany",96.429145,NA,2,"3",93.2894446216216
"197","Greece",81.378997,1660,2,"3",93.2894446216216
"198","Hungary",98.00472,NA,2,"3",93.2894446216216
"199","Ireland",92.099497,3980,2,"3",93.2894446216216
"200","Israel",96.20021,2630,2,"3",93.2894446216216
"201","Italy",90.826724,2710,2,"3",93.2894446216216
"202","Japan",97.566973,2950,2,"3",93.2894446216216
"203","Korea Republicof",96.944293,3380,2,"3",93.2894446216216
"204","Lithuania",93.357047,1260,2,"3",93.2894446216216
"205","Mexico",96.499841,1160,2,"3",93.2894446216216
"206","Netherlands",96.907109,3620,2,"3",93.2894446216216
"207","New Zealand",95.981669,3400,2,"3",93.2894446216216
"208","Northern Ireland UK",96.375608,3050,2,"3",93.2894446216216
"209","Norway",97.921309,4390,2,"3",93.2894446216216
"210","Poland",93.976108,1760,2,"3",93.2894446216216
"211","Slovak Republic",93.410413,1500,2,"3",93.2894446216216
"212","Slovenia",90.854568,1840,2,"3",93.2894446216216
"213","Spain",88.930773,2790,2,"3",93.2894446216216
"214","Sweden",96.509877,NA,2,"3",93.2894446216216
"215","Turkey",94.339797,NA,2,"3",93.2894446216216
"216","United States",96.050421,4580,2,"3",93.2894446216216
"217","Cyprus",93.375569,2870,2,"3",93.2894446216216
"218","Ecuador",97.223691,1210,2,"3",93.2894446216216
"219","Kazakhstan",96.683856,960,2,"3",93.2894446216216
"220","Peru",98.540837,NA,2,"3",93.2894446216216
"221","Russian Federation",94.916376,900,2,"3",93.2894446216216
"222","Singapore",96.874074,NA,2,"3",93.2894446216216
"223","Austria",97.753761,NA,1,"4 or 5",95.2170136486486
"224","Canada",97.274564,NA,1,"4 or 5",95.2170136486486
"225","Chile",94.72319,NA,1,"4 or 5",95.2170136486486
"226","Czech Republic",97.65077,2050,1,"4 or 5",95.2170136486486
"227","Denmark",96.399889,5000,1,"4 or 5",95.2170136486486
"228","England UK",97.264042,4300,1,"4 or 5",95.2170136486486
"229","Estonia",97.357846,2070,1,"4 or 5",95.2170136486486
"230","Finland",96.073358,3700,1,"4 or 5",95.2170136486486
"231","Flanders Belgium",98.865933,4320,1,"4 or 5",95.2170136486486
"232","France",94.968424,3230,1,"4 or 5",95.2170136486486
"233","Germany",98.282208,NA,1,"4 or 5",95.2170136486486
"234","Greece",87.918185,1790,1,"4 or 5",95.2170136486486
"235","Hungary",98.766187,NA,1,"4 or 5",95.2170136486486
"236","Ireland",95.808175,4530,1,"4 or 5",95.2170136486486
"237","Israel",94.871954,3260,1,"4 or 5",95.2170136486486
"238","Italy",93.54649,3030,1,"4 or 5",95.2170136486486
"239","Japan",96.232722,3590,1,"4 or 5",95.2170136486486
"240","Korea Republicof",95.498263,4060,1,"4 or 5",95.2170136486486
"241","Lithuania",93.625766,1580,1,"4 or 5",95.2170136486486
"242","Mexico",NA,NA,1,"4 or 5",95.2170136486486
"243","Netherlands",96.81175,4320,1,"4 or 5",95.2170136486486
"244","New Zealand",97.696484,4030,1,"4 or 5",95.2170136486486
"245","Northern Ireland UK",95.993143,3860,1,"4 or 5",95.2170136486486
"246","Norway",98.782058,5010,1,"4 or 5",95.2170136486486
"247","Poland",95.548137,2180,1,"4 or 5",95.2170136486486
"248","Slovak Republic",93.331356,1670,1,"4 or 5",95.2170136486486
"249","Slovenia",90.036819,2280,1,"4 or 5",95.2170136486486
"250","Spain",92.05193,3310,1,"4 or 5",95.2170136486486
"251","Sweden",98.405634,NA,1,"4 or 5",95.2170136486486
"252","Turkey",NA,NA,1,"4 or 5",95.2170136486486
"253","United States",96.974336,5630,1,"4 or 5",95.2170136486486
"254","Cyprus",93.94036,3370,1,"4 or 5",95.2170136486486
"255","Ecuador",NA,NA,1,"4 or 5",95.2170136486486
"256","Kazakhstan",98.157502,1060,1,"4 or 5",95.2170136486486
"257","Peru",NA,NA,1,"4 or 5",95.2170136486486
"258","Russian Federation",91.684807,960,1,"4 or 5",95.2170136486486
"259","Singapore",97.296534,NA,1,"4 or 5",95.2170136486486
"260","Austria",97.622013,NA,2,"4 or 5",96.6981624571429
"261","Canada",98.353444,NA,2,"4 or 5",96.6981624571429
"262","Chile",98.810995,2970,2,"4 or 5",96.6981624571429
"263","Czech Republic",97.898399,2010,2,"4 or 5",96.6981624571429
"264","Denmark",96.790373,5130,2,"4 or 5",96.6981624571429
"265","England UK",97.570076,4480,2,"4 or 5",96.6981624571429
"266","Estonia",97.996679,2270,2,"4 or 5",96.6981624571429
"267","Finland",96.803853,3940,2,"4 or 5",96.6981624571429
"268","Flanders Belgium",98.504978,4500,2,"4 or 5",96.6981624571429
"269","France",95.74302,3450,2,"4 or 5",96.6981624571429
"270","Germany",98.764879,NA,2,"4 or 5",96.6981624571429
"271","Greece",91.061902,1850,2,"4 or 5",96.6981624571429
"272","Hungary",98.957994,NA,2,"4 or 5",96.6981624571429
"273","Ireland",94.873341,5100,2,"4 or 5",96.6981624571429
"274","Israel",96.246421,3590,2,"4 or 5",96.6981624571429
"275","Italy",94.996851,3270,2,"4 or 5",96.6981624571429
"276","Japan",98.14905,4150,2,"4 or 5",96.6981624571429
"277","Korea Republicof",97.052085,4280,2,"4 or 5",96.6981624571429
"278","Lithuania",96.900608,1720,2,"4 or 5",96.6981624571429
"279","Mexico",NA,NA,2,"4 or 5",96.6981624571429
"280","Netherlands",97.211002,4570,2,"4 or 5",96.6981624571429
"281","New Zealand",97.748515,4390,2,"4 or 5",96.6981624571429
"282","Northern Ireland UK",96.043358,3950,2,"4 or 5",96.6981624571429
"283","Norway",98.534252,5280,2,"4 or 5",96.6981624571429
"284","Poland",96.390411,2290,2,"4 or 5",96.6981624571429
"285","Slovak Republic",94.857818,1680,2,"4 or 5",96.6981624571429
"286","Slovenia",90.246079,2310,2,"4 or 5",96.6981624571429
"287","Spain",93.256017,3350,2,"4 or 5",96.6981624571429
"288","Sweden",98.152282,NA,2,"4 or 5",96.6981624571429
"289","Turkey",97.794146,NA,2,"4 or 5",96.6981624571429
"290","United States",97.487453,6390,2,"4 or 5",96.6981624571429
"291","Cyprus",95.93394,3480,2,"4 or 5",96.6981624571429
"292","Ecuador",NA,NA,2,"4 or 5",96.6981624571429
"293","Kazakhstan",99.271332,1170,2,"4 or 5",96.6981624571429
"294","Peru",99.626928,NA,2,"4 or 5",96.6981624571429
"295","Russian Federation",90.529301,940,2,"4 or 5",96.6981624571429
"296","Singapore",98.255891,NA,2,"4 or 5",96.6981624571429
